commit,short_commit,committed_at,coverage_percent,smells_total,exit_status,subject
"60c0b662080399f9d13d99f23851e447e499856a","60c0b66","2026-05-04T20:30:27+02:00",,,10,"Add validation rules per ticket type"
"93b97ad615110f30916826c26b7d36594d07cfe4","93b97ad","2026-05-04T20:32:20+02:00",,,10,"Add ticket templates"
"f29e6951ab22e1304f67fafd6c1a50186d2ff8fc","f29e695","2026-05-04T20:33:25+02:00",,,10,"Add role-based field visibility"
"eef3fb720959839c458690d55c0509cdb15cf1ef","eef3fb7","2026-05-04T20:35:00+02:00",,,10,"Add ticket merge support"
"7cfaf24e75208e5c4a807300e997ea60b3758a89","7cfaf24","2026-05-04T20:36:22+02:00",,,10,"Add undo for bulk actions"
"5159cb73cfea8dd20a5097f048154197178e4721","5159cb7","2026-05-04T20:38:31+02:00",,,10,"Add SLA breach warnings"
"d09b7d0e472507b7a794a58d5a0774ff1518d78d","d09b7d0","2026-05-04T20:41:00+02:00",,,10,"Add configurable SLA rules"
"6195e4ecc93bff59295c238e5fbf4f5faa3e4ad1","6195e4e","2026-05-04T20:43:10+02:00",,,10,"Add ticket escalation rules"
"9235a87b5e72ebc555a666e1a87adec3cb06b36b","9235a87","2026-05-04T20:45:51+02:00",,,10,"Add escalation history"
"7a9044d27244f5465af38c11157661860a68aa6d","7a9044d","2026-05-04T20:47:06+02:00",,,10,"Add simple analytics commands"
"be1813e72ccbc6503a3ea760ca14c5ca59576fff","be1813e","2026-05-04T20:47:53+02:00",,,10,"Add daily summary reports"
"6a0e2d7cdc0a4b35cfa90b370cee4340f7249daa","6a0e2d7","2026-05-04T20:48:35+02:00",,,10,"Add weekly summary reports"
"d1b8f5c366b38705de27d1e7a7e97f3c9c3496a0","d1b8f5c","2026-05-04T20:49:53+02:00",,,10,"Add custom sorting rules"
"c776fb39e1e63e4d0aa8801b37f7a2e93b2ea804","c776fb3","2026-05-04T20:51:15+02:00",,,10,"Add duplicate ticket detection"
"509ad730a83860fd1e51a1d7e1b8e9b99ea3acdc","509ad73","2026-05-04T20:52:47+02:00",,,10,"Add import conflict resolution"
"359cc5243f6590fd461655b8d839c64fca8abb3a","359cc52","2026-05-04T20:54:44+02:00",,,10,"Add ticket relationships"
"db963349af8cc7cbae08d8bd5e101814ca8897b9","db96334","2026-05-04T20:58:21+02:00",,,10,"Add parent-child tickets"
"eeb6581743640d5f630f6988ecd9ab1b83be3f43","eeb6581","2026-05-04T20:59:15+02:00",,,10,"Add dependency tracking"
"bc0abe55d20fa5abd6b0fcbd2a94376b06d538db","bc0abe5","2026-05-04T21:00:22+02:00",,,10,"Block closing tickets with open dependencies"
"5921389009159cb5ebea28fb92989358fdee5b74","5921389","2026-05-04T21:02:27+02:00",,,10,"Add webhook simulation"
"25e5062ea6ac4c36c43cd896559e4edd42b60a3b","25e5062","2026-05-04T21:03:16+02:00",,,10,"Add webhook retry handling"
"3ad0fd131a83ad969a355e267b89847db82befff","3ad0fd1","2026-05-04T21:04:11+02:00",,,10,"Add API-like command interface"
"40273154cc6f8f09ced4cc05d191dbfe0e878be0","4027315","2026-05-04T21:05:31+02:00",,,10,"Add API authentication tokens"
"ea4b3d12f231573634ed3406c2f7cccbf7a8893a","ea4b3d1","2026-05-04T21:06:31+02:00",,,10,"Add API rate limiting"
"c9551497ef5bbdfaff10d4dc02d853d942083bfc","c955149","2026-05-04T21:07:59+02:00",,,10,"Add simple caching layer"
"99b50335c51cb421657c3a85c9165e7df29e12ce","99b5033","2026-05-04T21:08:37+02:00",,,10,"Add cache invalidation rules"
"d1e053846249c1d5b36c61501f0d03416d60a987","d1e0538","2026-05-04T21:12:27+02:00",,,10,"Add configurable workflows"
"fc9aeeef88a0136495a7abac3bfb63bee400eb51","fc9aeee","2026-05-04T21:14:02+02:00",,,10,"Add workflow transitions"
"f66e4705e11eddc3d6b7fd738936aa591151ad2c","f66e470","2026-05-04T21:17:07+02:00",,,10,"Add transition permissions"
"7dcb47aba49789caaff03742dd73fad24ba57568","7dcb47a","2026-05-04T21:20:05+02:00",,,10,"Add soft-delete support"
"def47a3c167775044589e29e97f300aa40cd403d","def47a3","2026-05-04T21:22:24+02:00",,,10,"Add restore support for deleted records"
"bfa2121270a8645e263d1bee8fb4746728ed7b91","bfa2121","2026-05-05T15:14:23+02:00",,,10,"Add event hooks system"
"0f4bc66d9b0e7c6b451a73517cee4a1843c78eb8","0f4bc66","2026-05-05T15:17:57+02:00",,,10,"Add plugin system for custom commands"
"c8dd890d355cad3220fa6dcb3e7e454ee90eaa82","c8dd890","2026-05-05T15:19:24+02:00",,,10,"Add plugin loading from config"
"460f38c020f02302a9cb83ff2db287849a88cdfb","460f38c","2026-05-05T15:20:26+02:00",,,10,"Add command aliases"
"961dced9b2fb9d7af129422b7d56ab3d81fbca3d","961dced","2026-05-05T15:22:44+02:00",,,10,"Add interactive terminal menu"
"9142e0b8cb68300b9d58b3635ff922e6c71fe94a","9142e0b","2026-05-05T15:23:41+02:00",,,10,"Add keyboard shortcuts"
"9b598dcb3790c286d0c30f239bb7453ae26517c1","9b598dc","2026-05-05T15:25:16+02:00",,,10,"Add session persistence"
"306c2cef2da218f768374817eeb91f8a7e39b617","306c2ce","2026-05-05T15:28:55+02:00",,,10,"Add application configuration profiles"
"e1a2a8e1b1a6e9c01ada1147823853f5fa0c71e2","e1a2a8e","2026-05-05T15:29:32+02:00",,,10,"Add environment-specific configuration"
"9213af17baec9f5235f4649b86aa7613a721b88e","9213af1","2026-05-05T15:30:37+02:00",,,10,"Add debug logging mode"
